Compiled loss functions
compiled score function
253 140.587554932 141.789901733
254 140.609710693 141.828414917
255 140.449951172 141.570648193
256 140.615432739 142.012939453
257 140.53767395 141.975326538
258 140.602264404 141.925704956
259 140.470977783 141.904434204
260 140.298675537 141.623474121
261 140.437042236 141.988128662
262 140.57723999 141.839477539
263 140.186889648 141.503662109
264 140.296890259 141.669952393
265 140.465011597 141.769775391
266 140.557861328 142.150939941
267 140.352081299 141.574569702
268 140.343811035 141.950500488
269 140.428573608 141.913238525
270 140.344833374 141.679031372
271 140.348999023 141.710998535
272 140.348205566 141.676589966
273 140.213287354 141.587493896
274 140.346710205 141.833740234
275 140.530929565 141.674804688
276 140.20993042 141.435073853
277 140.451858521 141.604568481
278 140.371383667 141.49281311
279 140.372848511 141.700653076
280 140.247161865 141.942977905
281 140.19644165 141.744400024
282 140.292144775 141.570861816
283 140.180053711 141.68371582
284 140.214813232 141.614578247
285 140.077941895 141.741226196
286 140.030349731 141.665130615
287 140.298980713 141.773239136
288 140.19418335 141.843826294
289 140.11907959 141.553894043
290 140.134231567 141.669128418
291 139.989257812 141.484939575
292 140.107543945 141.580078125
293 140.050827026 141.54335022
294 140.13873291 141.611816406
295 139.977279663 141.544052124
296 139.79776001 141.306549072
297 140.100463867 141.353302002
298 139.968978882 141.45715332
299 139.960235596 141.37260437
300 139.93800354 141.581176758
301 140.026199341 141.404052734
302 140.128677368 141.539703369
303 139.962677002 141.502655029
304 140.139678955 141.770553589
305 140.096282959 141.607147217
306 139.88885498 141.523254395
307 139.888702393 141.275939941
308 139.867523193 141.413314819
309 140.122070312 141.734191895
310 139.80632019 141.199996948
311 139.764877319 141.160812378
312 140.035842896 141.570755005
313 139.921432495 141.279403687
314 139.758178711 141.059707642
315 139.956329346 141.503051758
316 139.872299194 141.275665283
317 139.796890259 141.393264771
318 139.886703491 141.159805298
319 139.967590332 141.638824463
320 139.778869629 141.232177734
321 140.307403564 141.30015564
322 139.843963623 141.323745728
323 139.714080811 141.361740112
324 139.642990112 141.242614746
325 139.92401123 141.697296143
326 139.904663086 141.324020386
327 139.72946167 141.187271118
328 139.784362793 141.501052856
329 139.612350464 141.006225586
330 139.741821289 141.41519165
331 139.855529785 141.56137085
332 139.83807373 141.370361328
333 139.964691162 141.693466187
334 139.516967773 141.109313965
335 139.582397461 141.220733643
336 139.610473633 141.354873657
337 139.658172607 141.417999268
338 139.807922363 141.227203369
339 139.747772217 141.206802368
340 139.752166748 141.120452881
341 139.965240479 141.33732605
342 139.611038208 141.132705688
343 139.754577637 141.366027832
344 139.587310791 141.108566284
345 139.750076294 141.401184082
346 139.528747559 141.058120728
347 139.82951355 141.606338501
348 139.742431641 140.997802734
349 139.599349976 141.191680908
350 139.539871216 140.875320435
351 139.8646698 141.451416016
352 139.635131836 141.158538818
353 139.729187012 141.319839478
354 139.539352417 141.053192139
355 139.497055054 141.103637695
356 139.414413452 141.04385376
357 139.550674438 141.010482788
358 139.504989624 140.900726318
359 139.396240234 141.12020874
360 139.468841553 141.190444946
361 139.701522827 141.213973999
362 139.35005188 141.082626343
363 139.486968994 140.854141235
364 139.450668335 141.102401733
365 139.709762573 141.237167358
366 139.385116577 141.009368896
367 139.412857056 141.065872192
368 139.435501099 141.042953491
369 139.558731079 141.365814209
370 139.331863403 141.082214355
371 139.382629395 140.941818237
372 139.373001099 140.808166504
373 139.384109497 141.069839478
374 139.399932861 140.769256592
375 139.402679443 140.905807495
376 139.544662476 141.017974854
377 139.327880859 140.992095947
378 139.310470581 140.856750488
379 139.526382446 141.178024292
380 139.281005859 141.114074707
381 139.475921631 140.86706543
382 139.708114624 141.582138062
383 139.325378418 141.012023926
384 139.537750244 140.862792969
385 139.39239502 140.862121582
386 139.382019043 140.876861572
387 139.426437378 140.94354248
388 139.269622803 140.723068237
389 139.306655884 141.051330566
390 139.140991211 140.811065674
391 139.27532959 140.835372925
392 139.419692993 141.147064209
393 139.127990723 140.701477051
394 139.476882935 140.999481201
395 139.80380249 141.705154419
396 139.330993652 140.792312622
397 139.246582031 141.020080566
398 139.234436035 140.765777588
399 139.440231323 141.000869751
400 139.124969482 140.581390381
401 139.071731567 140.950302124
402 139.101882935 140.814468384
403 139.295318604 140.841308594
404 139.146514893 140.891677856
405 139.226165771 140.895019531
406 139.043899536 140.827209473
407 139.147781372 140.86479187
408 139.219390869 140.996261597
409 139.13923645 140.83795166
410 139.123168945 140.759841919
411 139.019393921 140.657043457
412 139.136276245 140.988052368
413 139.24446106 140.768203735
414 139.081420898 140.561141968
415 139.159500122 140.601501465
416 139.464355469 140.974014282
417 139.294921875 140.901367188
418 139.191131592 140.996109009
419 139.158630371 140.788650513
420 139.153182983 140.71156311
421 138.969192505 140.48664856
422 139.230194092 141.117446899
423 139.392349243 140.871688843
424 139.189666748 140.815002441
425 139.019042969 140.878448486
426 139.12461853 140.636383057
427 138.992462158 140.727340698
428 139.080718994 140.88583374
429 139.408187866 140.915176392
430 139.347167969 141.299072266
431 139.564559937 140.937484741
432 139.140563965 140.897323608
433 138.92175293 140.42817688
434 138.893295288 140.49331665
435 139.151123047 140.778503418
436 138.886230469 140.540420532
437 138.856964111 140.49987793
438 139.020843506 140.758346558
439 139.012237549 140.726928711
440 139.087966919 140.724517822
441 139.082107544 140.91734314
442 139.014221191 140.649124146
443 139.178710938 140.759399414
444 138.854034424 140.603530884
445 138.979751587 140.787490845
446 139.132125854 140.775909424
447 138.835266113 140.439804077
448 138.947845459 140.452209473
449 139.197433472 141.063415527
450 138.876785278 140.550552368
451 139.075012207 140.795425415
452 139.014389038 140.703582764
453 138.916610718 140.593994141
454 138.969665527 140.516601562
455 139.108734131 140.48651123
456 138.936538696 140.731704712
457 139.067550659 140.786315918
458 138.923492432 140.677703857
459 138.989776611 140.911621094
460 138.883514404 140.536514282
461 138.920440674 140.555099487
462 138.866744995 140.514724731
463 139.043304443 140.83757019
