ExpLogPatternSub
LogExpPatternSub
[[ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 ..., 
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]]
compiled score function
Old best loss
garray(99.96089172363281)
Compiled loss functions
357 96.698425293 99.9431762695
358 96.7524337769 100.022407532
359 96.6742172241 99.8652572632
360 96.7079162598 99.8742980957
361 96.6800613403 99.8458099365
362 96.6660995483 99.8928222656
363 96.7108612061 99.8935241699
364 96.7112503052 99.9394836426
365 96.6725006104 99.8254470825
366 96.7242889404 99.9640884399
367 96.7653198242 100.123344421
368 96.7097167969 99.9084320068
369 96.6567153931 99.9070129395
370 96.6391372681 99.9135131836
371 96.6947479248 99.8498306274
372 96.7689971924 99.9666137695
373 96.6906967163 99.9261245728
374 96.6903839111 99.905632019
375 96.7473983765 99.9628067017
376 96.714805603 99.9110946655
377 96.7238998413 99.883682251
378 96.6634368896 99.8709259033
379 96.7164001465 100.048294067
380 96.664276123 99.9434814453
381 96.6365966797 99.8691253662
382 96.7111663818 99.9502792358
383 96.6782913208 99.9136428833
384 96.6740264893 99.9214172363
385 96.7120361328 99.9516067505
386 96.6551589966 99.9016571045
387 96.8558349609 99.9996261597
388 96.7035598755 99.9441070557
389 96.7135848999 99.9374084473
390 96.6862564087 100.020477295
391 96.6767349243 99.9345245361
392 96.6952590942 99.891784668
393 96.6570739746 99.9464645386
394 96.6867675781 100.027679443
395 96.6884002686 99.9246368408
396 96.6963195801 99.9137496948
397 96.677406311 99.881072998
398 96.7064666748 99.9245376587
399 96.6488571167 99.8494338989
400 96.7303237915 99.9361724854
401 96.6510772705 99.9652481079
402 96.6517105103 99.885345459
403 96.7102966309 99.9514160156
404 96.7121200562 99.9712371826
405 96.6564865112 99.9059524536
406 96.7026596069 99.9545822144
407 96.6634750366 99.9618453979
408 96.6911010742 99.8386001587
409 96.6224365234 99.9161605835
410 96.7564163208 99.9770812988
411 96.7856369019 99.9804000854
412 96.697555542 99.9931030273
413 96.6364593506 99.7801818848
414 96.6996383667 99.9517669678
415 96.6526565552 99.8578720093
416 96.6383361816 99.8666915894
417 96.6727142334 99.9561691284
418 96.6902389526 99.9341278076
419 96.6874160767 99.9245376587
420 96.6988983154 100.021690369
421 96.6806564331 99.9518127441
422 96.7648162842 99.9130401611
423 96.6916351318 99.936088562
424 96.7356567383 99.9618835449
425 96.6731948853 99.9535522461
426 96.6612167358 99.9447250366
427 96.6998138428 99.9754333496
428 96.6873397827 99.9396438599
429 96.6957778931 99.9254608154
430 96.6430969238 99.9518127441
431 96.6623001099 99.8428268433
432 96.6677093506 99.9008331299
433 96.6711959839 99.9416885376
434 96.667427063 99.8291168213
435 96.6428756714 99.8859939575
436 96.64818573 99.930305481
437 96.6438751221 99.8920669556
438 96.6812591553 99.923866272
439 96.774017334 100.005157471
440 96.6507797241 99.8736572266
441 96.648651123 99.9019546509
442 96.7138748169 99.9721755981
443 96.6840438843 100.006988525
444 96.6049804688 99.9016113281
445 96.6412963867 99.9396438599
446 96.6719360352 99.8878250122
447 96.6903686523 99.9391937256
448 96.7177963257 99.9862213135
449 96.7020797729 99.9171829224
450 96.6610565186 99.9031906128
451 96.6889801025 99.9836502075
452 96.5869369507 99.9516525269
453 96.674118042 99.9745864868
454 96.7032775879 99.9543151855
455 96.6233062744 99.8680877686
456 96.6139068604 99.9350738525
457 96.6254806519 99.9079971313
458 96.7006912231 99.9608383179
459 96.6472702026 99.9393615723
460 96.6952438354 100.016548157
461 96.6732177734 99.9161453247
462 96.6243972778 99.8712387085
463 96.6636505127 99.9124221802
464 96.6573410034 99.9116134644
465 96.6506576538 99.8513565063
466 96.7069091797 99.960723877
467 96.6111984253 99.8316040039
468 96.6842651367 99.9043731689
469 96.6857299805 99.9410476685
470 96.619720459 99.8924484253
471 96.6755447388 99.8838195801
472 96.6620864868 99.8401947021
473 96.6126937866 99.7901687622
474 96.6287078857 99.9238815308
475 96.6697006226 99.8213500977
476 96.6013946533 99.8532867432
477 96.6983413696 99.9579315186
478 96.617149353 100.005249023
479 96.6333999634 99.8810348511
480 96.7212600708 100.07674408
481 96.6328811646 99.8296127319
482 96.6451187134 99.8398208618
483 96.6395339966 99.9236450195
484 96.6336898804 99.7879486084
485 96.667678833 99.9514694214
486 96.6586608887 99.9065322876
487 96.5983505249 99.9172439575
488 96.6298446655 99.9633255005
489 96.6384048462 99.8933258057
490 96.6966552734 99.9078445435
491 96.6559066772 99.8965377808
492 96.6636199951 99.9610900879
493 96.626159668 99.9474716187
494 96.7007751465 99.8425292969
495 96.6242446899 99.8670349121
496 96.684135437 99.9830780029
497 96.6324539185 99.9113082886
498 96.6107406616 99.931968689
499 96.6198577881 99.8933639526
500 96.6483764648 99.8865127563
501 96.712097168 100.007492065
502 96.6563339233 99.9098510742
503 96.59009552 99.8857116699
504 96.698135376 99.9065628052
505 96.6689605713 99.9282608032
506 96.6571502686 99.9290313721
507 96.6747360229 99.9736938477
508 96.6464691162 99.9711380005
509 96.6561279297 99.9340438843
510 96.6683349609 99.9481506348
511 96.6430892944 99.8802337646
512 96.7092971802 99.9068374634
513 96.6738357544 99.9053878784
514 96.6379394531 99.9374008179
515 96.6002578735 99.9025192261
516 96.6129150391 99.986869812
517 96.6072540283 99.8596878052
518 96.6422653198 99.9015350342
519 96.6445999146 99.8783569336
520 96.6167602539 99.968132019
521 96.6414794922 99.9133758545
522 96.6377182007 99.9078140259
523 96.6171951294 99.893913269
524 96.6027450562 99.8872146606
525 96.6183166504 99.9808502197
526 96.6172180176 99.8976745605
527 96.6362991333 99.9118041992
528 96.6237945557 99.8440093994
529 96.6514663696 99.8125762939
530 96.6756210327 99.9172439575
531 96.6037597656 99.8976821899
532 96.743850708 99.9501419067
533 96.6285171509 99.9168930054
534 96.6176757812 99.9026947021
535 96.6719741821 99.9894943237
536 96.6308441162 99.835975647
537 96.6040039062 99.8013763428
538 96.6284942627 99.8736495972
539 96.6795196533 99.8811721802
540 96.6528091431 99.8991012573
541 96.6420440674 99.879989624
542 96.5968093872 99.9070739746
543 96.6621170044 99.8190078735
544 96.7117538452 99.9358215332
545 96.6072387695 99.8956222534
546 96.5970687866 99.8507995605
547 96.6266403198 99.8086242676
548 96.5611495972 99.7486877441
549 96.6911392212 99.9291381836
550 96.650390625 99.8767852783
551 96.6509552002 99.896270752
552 96.6607971191 99.9577636719
553 96.6309967041 99.8846511841
554 96.6231613159 99.8684234619
555 96.6331558228 99.8335494995
556 96.6082382202 99.8651123047
557 96.6894454956 100.013565063
558 96.6123580933 99.8985214233
559 96.6434173584 99.9423065186
560 96.591545105 99.8180541992
561 96.6242904663 99.9109802246
562 96.6597595215 99.9383926392
563 96.6466751099 99.8978805542
564 96.6335144043 99.859954834
565 96.6104278564 99.8043212891
566 96.6322784424 99.8903656006
567 96.6790161133 99.8581695557
568 96.6404800415 99.9131088257
569 96.6009292603 99.9175949097
570 96.6020050049 99.9540328979
571 96.5876998901 99.8490066528
572 96.6725845337 99.9699249268
573 96.6774902344 99.9184570312
574 96.6632537842 99.8519592285
575 96.5991973877 99.9295883179
576 96.6544265747 99.8559341431
577 96.6320953369 99.9753952026
578 96.6058654785 99.9306259155
579 96.5972747803 99.9122085571
580 96.6401977539 99.9364013672
581 96.6223144531 99.8070755005
582 96.6468658447 99.8263168335
583 96.6836242676 99.9310073853
584 96.5960769653 99.8187179565
585 96.6405944824 99.8784332275
586 96.5675048828 99.8371810913
587 96.6447677612 99.881362915
588 96.5716171265 99.8573455811
589 96.5998840332 99.874382019
590 96.580619812 99.8814239502
591 96.6000747681 99.8193969727
592 96.6633758545 99.9352722168
593 96.6302566528 99.9184112549
594 96.6205596924 99.8684310913
595 96.5968475342 99.8910980225
596 96.5965576172 99.8958129883
597 96.6065368652 99.9385375977
598 96.6650390625 99.9440689087
599 96.6248397827 99.8244857788
600 96.6019363403 99.8734741211
601 96.6772155762 99.9295501709
602 96.6278991699 99.9449386597
603 96.6375274658 99.8517379761
604 96.6212997437 99.9148712158
605 96.6274261475 99.9142227173
606 96.6161804199 99.8351211548
607 96.597694397 99.9236373901
608 96.6188354492 99.8465118408
609 96.6742782593 99.9730148315
610 96.655418396 99.9475250244
611 96.6391143799 99.9948196411
612 96.7173309326 99.9401855469
613 96.5911483765 99.8165893555
614 96.5960998535 99.8530807495
615 96.6379089355 99.8905563354
616 96.6637802124 99.8812484741
617 96.6474761963 99.9425506592
618 96.6408996582 99.87474823
619 96.5877609253 99.9008560181
620 96.6496810913 99.904296875
621 96.5696411133 99.7822952271
622 96.6779708862 99.9205322266
623 96.5996780396 99.9194869995
624 96.7201766968 99.9572296143
625 96.5926742554 99.9708709717
626 96.6264343262 99.8191375732
627 96.6141281128 99.8544845581
628 96.6715164185 100.048019409
629 96.6467971802 99.9240646362
630 96.5983810425 99.8830871582
631 96.6996383667 99.9101409912
632 96.6220550537 99.8542251587
633 96.6514358521 99.9592437744
634 96.5118560791 99.8896560669
635 96.6483154297 99.9503173828
636 96.6307373047 100.025032043
637 96.5651092529 99.8075180054
638 96.6175994873 99.8206329346
