Compiled loss functions
compiled score function
92 145.833953857 148.365814209
93 145.759841919 148.090744019
94 145.502716064 147.888885498
95 145.54637146 148.221038818
96 145.514144897 148.085372925
97 145.293395996 147.960327148
98 145.65737915 148.16444397
99 145.126846313 147.989578247
100 145.336349487 148.116836548
101 145.652679443 148.353912354
102 145.070053101 147.869476318
103 145.24130249 148.173858643
104 144.854049683 147.731658936
105 145.132278442 147.837890625
106 144.985366821 147.976303101
107 144.987808228 147.931304932
108 144.944656372 148.078567505
109 144.765060425 147.993438721
110 144.708862305 147.99597168
111 144.909729004 147.853424072
112 144.850830078 147.880950928
113 144.757385254 147.613052368
114 144.677490234 147.893951416
115 144.941802979 148.05696106
116 144.752670288 148.422805786
117 144.631271362 147.844665527
118 144.840438843 147.854248047
119 144.468032837 147.889266968
120 144.390670776 147.861419678
121 144.189041138 147.848236084
122 144.177200317 147.620117188
123 144.058319092 147.436569214
124 144.494735718 147.935638428
125 144.406799316 147.883956909
126 144.148742676 147.621826172
127 144.104232788 147.786453247
128 144.323150635 147.936248779
129 143.996490479 147.483276367
130 144.257141113 147.827346802
131 143.833587646 147.422744751
132 144.256851196 147.786590576
133 144.008666992 147.745223999
134 143.933624268 147.870117188
135 144.204650879 148.014022827
136 143.846939087 147.67477417
137 144.067382812 147.813873291
138 143.673416138 147.488815308
139 143.74005127 147.699783325
140 143.846633911 147.885803223
141 144.032363892 147.780639648
142 143.534011841 147.4659729
143 143.796920776 147.808349609
144 143.562911987 147.799118042
145 143.621231079 147.688995361
146 143.777450562 147.64932251
147 143.600860596 148.081359863
148 143.550643921 147.671295166
149 143.595825195 147.782623291
150 143.487258911 147.520339966
151 143.559127808 148.032089233
152 143.51109314 147.378936768
153 143.356170654 147.844024658
154 143.703781128 148.136367798
155 143.448501587 147.537628174
156 143.283050537 147.600326538
157 143.532867432 147.598342896
158 143.571960449 147.620239258
159 143.279983521 147.463226318
160 143.386932373 147.769790649
161 143.336242676 147.79486084
162 143.085601807 147.45211792
163 143.081604004 147.510116577
164 143.034408569 147.40675354
165 143.186035156 147.573226929
166 143.111587524 147.655517578
167 143.306762695 148.170303345
168 143.266479492 147.88343811
169 143.349563599 147.523513794
170 143.189849854 147.730407715
171 143.297286987 148.179626465
172 143.152236938 147.785415649
173 142.934814453 147.692092896
174 142.825393677 147.549911499
175 143.0831604 147.897277832
176 142.721206665 147.393188477
177 142.787796021 147.520126343
178 142.663253784 147.538314819
179 142.674499512 147.520736694
180 143.030792236 147.853851318
181 142.716690063 147.387359619
182 142.770706177 147.572311401
183 142.656173706 147.696228027
184 142.891769409 147.809631348
185 142.972549438 147.777206421
186 142.520751953 147.487823486
187 142.577774048 147.527801514
188 143.157424927 148.027893066
189 143.026351929 148.427703857
190 142.656539917 147.522781372
191 142.660812378 147.569076538
192 142.585128784 147.185516357
193 142.608215332 147.482666016
194 142.280776978 147.383422852
195 142.555648804 147.378326416
196 142.438400269 147.584381104
197 142.63671875 147.588302612
198 142.586532593 147.492599487
199 142.617721558 147.555252075
200 142.446380615 147.541915894
201 142.514190674 147.721252441
202 142.682403564 147.903823853
203 142.673080444 147.863342285
204 142.381210327 147.549362183
205 142.623931885 147.526870728
206 142.50012207 147.946365356
207 142.258102417 147.572738647
208 142.457397461 147.734741211
209 142.556655884 147.564971924
210 142.597961426 147.992950439
211 142.518249512 147.657699585
212 142.327026367 147.618789673
213 142.237060547 147.404815674
214 142.143554688 147.407852173
215 142.358718872 147.838363647
216 142.174865723 147.355926514
217 142.171646118 147.78918457
218 141.913696289 147.481460571
219 142.239440918 147.710769653
220 142.221359253 147.550537109
221 142.021194458 147.572265625
222 142.645401001 148.058441162
223 142.318481445 148.235031128
224 142.575134277 148.059509277
225 142.252120972 147.925079346
226 142.249313354 147.857650757
227 142.06427002 147.639251709
228 142.153396606 147.893753052
229 142.258605957 147.970977783
230 142.139572144 148.04750061
231 141.999267578 147.786499023
232 142.142852783 147.610565186
233 142.09677124 147.913513184
234 141.968658447 147.588790894
235 142.489822388 148.507659912
236 142.00227356 147.705383301
237 141.870040894 147.581192017
238 142.228088379 147.594116211
239 142.026000977 147.969665527
240 141.874786377 147.555648804
241 142.843353271 148.339263916
242 141.769393921 147.701980591
243 141.877380371 147.705505371
244 141.847320557 147.711547852
245 141.80380249 147.650924683
246 142.037612915 148.014648438
247 142.056549072 148.069000244
248 142.029052734 147.933685303
249 141.775970459 147.62387085
250 141.970779419 147.776550293
251 141.860229492 147.819778442
252 142.211898804 147.879089355
253 141.929702759 147.693984985
254 141.680236816 147.455841064
255 141.949905396 148.03465271
256 141.775085449 148.061843872
257 142.121032715 148.196624756
258 141.716659546 147.863952637
259 142.136962891 148.195877075
260 141.805999756 147.853012085
261 141.528320312 147.644714355
262 141.83265686 147.87361145
263 141.7472229 147.78578186
264 141.842819214 147.915298462
265 141.476654053 147.561584473
266 141.515060425 147.743087769
267 141.623840332 147.867599487
268 141.673370361 147.882324219
269 141.821838379 147.955078125
270 141.927261353 148.170593262
271 141.645202637 147.709335327
272 141.635742188 147.700408936
273 141.728973389 148.088088989
274 141.809921265 148.42906189
275 141.939163208 148.431930542
276 141.501327515 147.900253296
277 141.418441772 148.006881714
278 141.569717407 147.998764038
279 141.48979187 147.652664185
280 141.476715088 147.711044312
281 141.395172119 147.520599365
282 141.834899902 148.06388855
283 141.349731445 148.063919067
284 141.299972534 147.762527466
285 141.491226196 147.910888672
286 141.686203003 148.492004395
287 141.480361938 147.876464844
288 141.253417969 147.759002686
289 141.977600098 148.129058838
290 141.484741211 147.919586182
291 141.423477173 147.930114746
292 141.325820923 147.825164795
293 141.398132324 147.878967285
294 141.38659668 147.995040894
295 141.456741333 148.038742065
296 141.466003418 147.881057739
297 141.371627808 147.986099243
298 141.352416992 148.101806641
299 141.152130127 147.934539795
300 141.394241333 148.091323853
301 141.587783813 148.187088013
302 141.398239136 147.946228027
303 141.64074707 148.325241089
304 141.281723022 147.912765503
305 141.540939331 148.176315308
306 141.368988037 148.122268677
307 141.180435181 147.942718506
308 140.963150024 147.877578735
309 141.254119873 147.94229126
310 141.300231934 147.815948486
311 141.227920532 147.942352295
312 141.239746094 148.178161621
313 141.198410034 148.086761475
314 141.0675354 147.899032593
315 141.12663269 147.972610474
316 141.423690796 148.180465698
317 141.711791992 148.538299561
318 141.274963379 147.908065796
319 141.011199951 148.123626709
320 141.337722778 147.743530273
321 141.16519165 148.065826416
322 141.156402588 147.974075317
323 141.327209473 148.038665771
324 141.052841187 147.937744141
325 141.407424927 147.917572021
326 141.169754028 147.813400269
327 141.343261719 148.420639038
328 141.092300415 148.160293579
329 140.95652771 148.090591431
330 141.071975708 148.227172852
331 141.065261841 147.959609985
332 141.058441162 148.180130005
333 141.26348877 148.320281982
334 140.938903809 148.246429443
335 141.056152344 148.135971069
336 141.4506073 148.375442505
337 141.08631897 148.575790405
338 140.970779419 148.208709717
339 141.291168213 148.572540283
340 141.347183228 148.286239624
341 141.061187744 148.12677002
342 141.082489014 148.500808716
343 141.0287323 148.182571411
344 141.178955078 148.146270752
345 140.97517395 148.198181152
346 140.935562134 148.05909729
347 141.003143311 147.94342041
348 141.030563354 148.170776367
349 141.335952759 148.491439819
350 140.6769104 148.106033325
351 140.883392334 148.227432251
352 141.178512573 148.664108276
353 141.114212036 148.315887451
354 140.672363281 148.100265503
355 140.860702515 148.159439087
356 140.964599609 148.214645386
357 140.840240479 148.085968018
358 141.193771362 148.432571411
359 140.927322388 148.435775757
360 141.032150269 148.429626465
361 140.73059082 147.812957764
362 140.947845459 148.016647339
363 141.221740723 148.456771851
364 140.830474854 148.140090942
365 140.840667725 148.069702148
366 140.743682861 148.114593506
367 140.561233521 148.040039062
368 140.640304565 148.14541626
369 140.689422607 148.084838867
370 140.954391479 148.303024292
371 140.627227783 148.154388428
372 140.738433838 148.204437256
373 140.969451904 148.527160645
374 140.871398926 148.33782959
375 140.672027588 148.196121216
376 140.650787354 148.285369873
377 140.746856689 148.500778198
378 140.642593384 148.106399536
379 140.980224609 148.429733276
380 140.908721924 148.625320435
381 140.5025177 148.378814697
382 140.803009033 148.290939331
383 140.754562378 148.133651733
384 140.6824646 148.54977417
385 140.83821106 148.225280762
386 140.857192993 148.252227783
387 141.124984741 148.678924561
388 141.01776123 148.409729004
389 140.692504883 148.388900757
390 140.950500488 148.44770813
391 141.243591309 148.565231323
392 140.524536133 147.928253174
393 140.562957764 148.106155396
394 140.804916382 148.114151001
395 140.735946655 148.270675659
396 140.740859985 148.67388916
397 140.806213379 148.489776611
398 140.855529785 148.497711182
399 140.597259521 148.072402954
400 141.020980835 148.503173828
401 140.697494507 148.50340271
