compiled score function
Old best loss
garray(130.62295532226562)
Compiled loss functions
712 127.754928589 130.669952393
713 127.770858765 130.665359497
714 127.825439453 130.573226929
715 127.780540466 130.640350342
716 127.835578918 130.699630737
717 127.72681427 130.684356689
718 127.840179443 130.728988647
719 127.770874023 130.738494873
720 127.799873352 130.733093262
721 127.75164032 130.75958252
722 127.763404846 130.72102356
723 127.80506897 130.690765381
724 127.793197632 130.809082031
725 127.748886108 130.758255005
726 127.841423035 130.763687134
727 127.825218201 130.740707397
728 127.854515076 130.688278198
729 127.795700073 130.632263184
730 127.711738586 130.669616699
731 127.720787048 130.647705078
732 127.84488678 130.661453247
733 127.802597046 130.738723755
734 127.860099792 130.661102295
735 127.835494995 130.702026367
736 127.789833069 130.67376709
737 127.823348999 130.59211731
738 127.76587677 130.559509277
739 127.759399414 130.617370605
740 127.815574646 130.616027832
741 127.736808777 130.621063232
742 127.815589905 130.613021851
743 127.810455322 130.664657593
744 127.731658936 130.767089844
745 127.797798157 130.775253296
746 127.798477173 130.69581604
747 127.853317261 130.692382812
748 127.811607361 130.68309021
749 127.758140564 130.607040405
750 127.874168396 130.608474731
751 127.84967041 130.619567871
752 127.842674255 130.689468384
753 127.733070374 130.645584106
754 127.802108765 130.650054932
755 127.862815857 130.637664795
756 127.744377136 130.623291016
757 127.776123047 130.662597656
758 127.794395447 130.600387573
759 127.834228516 130.653015137
760 127.766799927 130.699539185
761 127.721343994 130.611358643
762 127.859054565 130.612121582
763 127.841918945 130.657897949
764 127.774749756 130.6746521
765 127.808868408 130.674758911
766 127.78263855 130.63269043
767 127.750396729 130.726348877
768 127.76322937 130.634857178
769 127.845245361 130.659103394
770 127.784629822 130.686920166
771 127.730270386 130.702636719
772 127.756378174 130.653549194
773 127.845283508 130.633178711
774 127.843925476 130.55178833
775 127.79574585 130.616424561
776 127.743278503 130.651916504
777 127.747055054 130.696411133
778 127.808135986 130.691772461
779 127.772270203 130.712005615
780 127.860107422 130.67098999
781 127.745925903 130.841003418
782 127.779647827 130.697143555
783 127.759269714 130.689071655
784 127.750236511 130.639755249
785 127.775733948 130.666595459
786 127.694839478 130.75718689
787 127.776123047 130.721282959
788 127.701728821 130.724060059
789 127.768333435 130.725891113
790 127.771369934 130.76612854
791 127.805839539 130.736465454
792 127.738510132 130.754440308
793 127.847434998 130.784484863
794 127.710594177 130.684524536
795 127.775276184 130.767227173
796 127.828056335 130.682540894
797 127.720024109 130.746810913
798 127.781394958 130.68421936
799 127.778747559 130.715866089
800 127.722167969 130.885559082
801 127.807800293 130.722518921
802 127.751068115 130.733474731
803 127.782363892 130.743301392
804 127.69783783 130.727874756
805 127.791870117 130.741165161
806 127.720046997 130.738265991
807 127.743217468 130.722488403
808 127.755020142 130.749465942
809 127.784767151 130.857330322
810 127.797973633 130.733428955
811 127.798713684 130.844696045
812 127.845687866 130.778610229
813 127.676460266 130.78717041
814 127.727539062 130.827148438
815 127.779945374 130.741821289
816 127.748069763 130.780151367
817 127.797134399 130.72354126
818 127.769859314 130.702514648
819 127.776298523 130.762390137
