compiled score function
Old best loss
garray(93.12736511230469)
Compiled loss functions
0 91.7933273315 93.1044540405
1 91.8307342529 93.0894851685
2 91.8255081177 93.2426223755
3 91.8230514526 93.1085739136
4 91.9035797119 93.1577072144
5 91.8375778198 93.2172241211
6 91.911567688 93.1230316162
7 91.9131011963 93.165145874
8 91.8317489624 93.1159591675
9 91.9222869873 93.1767807007
10 91.8549957275 93.1387252808
11 91.8709564209 93.1233596802
12 91.8304748535 93.1911621094
13 91.8598403931 93.1059265137
14 91.8958053589 93.178604126
15 91.9434814453 93.1287002563
16 91.8374938965 93.1350784302
17 91.8826446533 93.1301574707
18 91.8191757202 93.2010498047
19 91.8762588501 93.1252822876
20 91.852394104 93.1207733154
21 91.8871841431 93.2112884521
22 91.8964309692 93.1841049194
23 91.8910293579 93.1855773926
24 91.8633575439 93.2070007324
25 91.8788986206 93.1571960449
26 91.8229141235 93.1995697021
27 91.8705596924 93.125831604
28 91.8787460327 93.0399093628
29 91.8532791138 93.1686401367
30 91.8775405884 93.2063598633
31 91.8670883179 93.0639419556
32 91.8290939331 93.1170349121
33 91.8672180176 93.1363220215
34 91.8408966064 93.1113586426
35 91.8391647339 93.2015380859
36 91.8285140991 93.0550384521
37 91.8103790283 93.0580368042
38 91.9195175171 93.0899505615
39 91.8178482056 93.1804199219
40 91.8229064941 93.2220230103
41 91.8469543457 93.2035140991
42 91.8790054321 93.1429214478
43 91.8565979004 93.2235641479
44 91.8970565796 93.188873291
45 91.9107894897 93.0834732056
46 91.9116592407 93.0783996582
47 91.8388214111 93.1315689087
48 91.8958740234 93.0871582031
49 91.8296356201 93.1717605591
50 91.8686676025 93.1399688721
51 91.8677139282 93.1138687134
52 91.793800354 93.171333313
53 91.8209762573 93.1016845703
54 91.8497543335 93.0835876465
55 91.7989273071 93.168838501
56 91.8882980347 93.0625762939
57 91.8923568726 93.1371383667
58 91.7922897339 93.101020813
59 91.8527450562 93.1923675537
60 91.9163894653 93.192527771
61 91.8105773926 93.178024292
62 91.8328170776 93.146774292
63 91.8053741455 93.1111602783
64 91.7928543091 93.1090698242
65 91.8435592651 93.1193771362
66 91.8902359009 93.1218948364
67 91.8409194946 93.2021636963
68 91.782585144 93.100730896
69 91.8490142822 93.1398925781
70 91.8641967773 93.1182403564
71 91.8818359375 93.1054763794
72 91.8115692139 93.0987472534
73 91.8707199097 93.142036438
74 91.8958740234 93.1163635254
75 91.8818664551 93.0990142822
76 91.7946548462 93.1097869873
77 91.8553771973 93.1177749634
78 91.8290252686 93.1140518188
79 91.8741607666 93.0883331299
80 91.8792953491 93.1214981079
81 91.8009109497 93.1748352051
82 91.8575973511 93.1419067383
83 91.9123458862 93.1316070557
84 91.8349990845 93.1920318604
85 91.8253707886 93.1388320923
86 91.8562164307 93.0499572754
87 91.8712310791 93.1968765259
88 91.924697876 93.173324585
89 91.8168258667 93.2141876221
90 91.8949508667 93.1725692749
91 91.8832778931 93.1199493408
92 91.8564376831 93.1790466309
93 91.8213806152 93.1649856567
94 91.8372039795 93.1923446655
95 91.8230743408 93.1329193115
96 91.8210372925 93.1445083618
97 91.8721160889 93.2155990601
98 91.8760757446 93.1632766724
99 91.8444595337 93.1249008179
100 91.7394485474 93.1565856934
101 91.8456039429 93.1902542114
102 91.7889404297 93.1638259888
103 91.8537750244 93.0818099976
104 91.837097168 93.1143798828
105 91.8280792236 93.1661376953
106 91.8656082153 93.193572998
107 91.8524398804 93.1963195801
108 91.8532180786 93.1038589478
109 91.7827377319 93.1568908691
110 91.8635482788 93.1133956909
111 91.8321609497 93.0975646973
112 91.8455963135 93.1573257446
113 91.876335144 93.1703414917
114 91.892906189 93.1404495239
115 91.9161987305 93.179107666
116 91.8420181274 93.1284103394
117 91.8559188843 93.0880584717
118 91.8530197144 93.2375564575
119 91.8941955566 93.0687637329
120 91.8268356323 93.1403503418
121 91.8150939941 93.1849060059
122 91.831237793 93.1826934814
123 91.8920059204 93.177444458
124 91.8747177124 93.1809997559
125 91.8623580933 93.1756744385
126 91.8989944458 93.1260757446
127 91.827796936 93.2123718262
128 91.8719177246 93.0824966431
129 91.8160171509 93.1201477051
130 91.9013671875 93.0846328735
131 91.9086380005 93.0983200073
132 91.898109436 93.1948776245
133 91.8335952759 93.1514816284
134 91.8472213745 93.1185379028
135 91.8170013428 93.0454330444
136 91.7986984253 93.1122665405
137 91.8796768188 93.1271591187
138 91.8905258179 93.0918960571
139 91.7965011597 93.182975769
140 91.8946609497 93.1364822388
141 91.874130249 93.0887832642
142 91.8238372803 93.1411743164
143 91.8801498413 93.130859375
144 91.8526992798 93.1580047607
145 91.8445358276 93.1785507202
146 91.8631362915 93.1073074341
147 91.8087158203 93.0848007202
148 91.7999801636 93.0879211426
149 91.8635940552 93.1901931763
150 91.8231811523 93.1535949707
151 91.8510360718 93.0627822876
152 91.7917861938 93.1539764404
153 91.8111953735 93.186668396
154 91.8581161499 93.168548584
155 91.8552398682 93.0915908813
156 91.9049377441 93.1278686523
157 91.8772506714 93.1542129517
158 91.9044570923 93.1706466675
159 91.8228302002 93.157081604
160 91.8377761841 93.1433639526
161 91.8312301636 93.146484375
162 91.8096847534 93.1119995117
163 91.8301849365 93.0958175659
164 91.8474349976 93.1764831543
165 91.8480758667 93.2169952393
166 91.8455657959 93.1185684204
167 91.7800369263 93.094039917
168 91.8165359497 93.1364135742
169 91.8988342285 93.199508667
170 91.8725357056 93.1119842529
171 91.8562545776 93.1741790771
172 91.8242950439 93.1178588867
173 91.8243179321 93.126663208
174 91.8413696289 93.1013336182
175 91.8854751587 93.1737823486
176 91.8292541504 93.100151062
177 91.872467041 93.116607666
178 91.8190612793 93.1318359375
179 91.873840332 93.1596755981
180 91.8474578857 93.1993179321
181 91.8896255493 93.1697998047
182 91.9007339478 93.0698242188
183 91.9019699097 93.1123199463
184 91.9089584351 93.2020568848
185 91.8041687012 93.1123886108
186 91.8555145264 93.1615219116
187 91.7780151367 93.1150436401
188 91.8740997314 93.0944976807
189 91.846534729 93.1192245483
190 91.8259658813 93.1325454712
191 91.9384384155 93.0707321167
192 91.8527603149 93.1371002197
193 91.8211593628 93.1504898071
194 91.8427200317 93.074005127
