compiled score function
Old best loss
garray(93.54653930664062)
Compiled loss functions
99 92.2744598389 93.4522094727
100 92.1634368896 93.3803405762
101 92.2598190308 93.4176940918
102 92.2178344727 93.4061355591
103 92.2821655273 93.5216522217
104 92.1825790405 93.5037612915
105 92.2304763794 93.4277496338
106 92.2536468506 93.5042114258
107 92.2495193481 93.4196014404
108 92.2744598389 93.4439849854
109 92.2129669189 93.4248886108
110 92.2335739136 93.4613342285
111 92.2298660278 93.4577636719
112 92.2134475708 93.4156646729
113 92.2493743896 93.5600967407
114 92.2798614502 93.5211868286
115 92.3267593384 93.5466461182
116 92.2549285889 93.4371261597
117 92.2403259277 93.4654846191
118 92.2628250122 93.504447937
119 92.2527542114 93.4242095947
120 92.2307357788 93.4619216919
121 92.1875839233 93.4273071289
122 92.240737915 93.4645996094
123 92.2421951294 93.4643173218
124 92.2909545898 93.4320831299
125 92.2107162476 93.4336013794
126 92.2690963745 93.4940948486
127 92.1365356445 93.4947052002
128 92.2346343994 93.4480819702
129 92.2181549072 93.4635314941
130 92.2658843994 93.4518508911
131 92.2735214233 93.4844589233
132 92.2387466431 93.4588546753
133 92.1844940186 93.4408721924
134 92.2271194458 93.4775466919
135 92.205657959 93.5140380859
136 92.1951599121 93.4359130859
137 92.2901077271 93.4731369019
138 92.2790298462 93.4755554199
139 92.1864700317 93.5383987427
140 92.289680481 93.426399231
141 92.2371902466 93.5181884766
142 92.2077713013 93.5237731934
143 92.2826690674 93.5026473999
144 92.2140350342 93.3776702881
145 92.1978149414 93.5249786377
146 92.2430801392 93.4122467041
147 92.2634658813 93.4961242676
148 92.2198486328 93.5334243774
149 92.2245101929 93.4497451782
150 92.2404556274 93.5093078613
151 92.2406997681 93.5132675171
152 92.1743087769 93.4914627075
153 92.2034912109 93.4707565308
154 92.2237091064 93.4087753296
155 92.2303009033 93.483581543
156 92.2623214722 93.5486450195
157 92.2862167358 93.4898605347
158 92.2900161743 93.3858337402
159 92.223197937 93.4020690918
160 92.2444152832 93.5729827881
161 92.2206878662 93.4492721558
162 92.1564941406 93.50806427
163 92.2658081055 93.4927139282
164 92.1805267334 93.5060195923
165 92.258605957 93.5287475586
166 92.2452545166 93.3935317993
167 92.2183074951 93.5251235962
168 92.2128753662 93.4490585327
169 92.281539917 93.4826660156
170 92.2664260864 93.5174942017
171 92.2207565308 93.4027099609
172 92.2759399414 93.5022888184
173 92.2372589111 93.4481506348
174 92.2056350708 93.4436721802
175 92.2500610352 93.4558944702
176 92.2228393555 93.4140472412
177 92.2391204834 93.4133377075
178 92.2215194702 93.5321731567
179 92.235496521 93.5083465576
180 92.2088775635 93.4456863403
181 92.2488479614 93.4729690552
182 92.3322753906 93.5542678833
183 92.3320541382 93.4645233154
184 92.3277511597 93.512550354
185 92.2053756714 93.4950637817
186 92.2300186157 93.3871459961
187 92.2276687622 93.4911499023
188 92.2080841064 93.4575500488
189 92.2635269165 93.4431152344
190 92.2169189453 93.4111709595
191 92.3090591431 93.3858947754
192 92.2377853394 93.3684387207
193 92.2288742065 93.4728240967
194 92.2717590332 93.4503707886
195 92.2759857178 93.4566192627
196 92.2057647705 93.4797592163
197 92.2695999146 93.5299835205
198 92.2855606079 93.5485610962
199 92.1897277832 93.4979629517
200 92.2422103882 93.4188079834
201 92.2298965454 93.468460083
202 92.2202606201 93.3457260132
203 92.2657546997 93.4644241333
204 92.1907958984 93.4595565796
205 92.2720947266 93.4635162354
206 92.2191848755 93.4831542969
207 92.2711181641 93.5118255615
208 92.2153396606 93.4719085693
209 92.2354812622 93.4827575684
210 92.2079391479 93.4033508301
211 92.2552566528 93.5480728149
212 92.2615509033 93.4588470459
213 92.2812576294 93.5543136597
214 92.3094787598 93.5110626221
215 92.1972808838 93.4946746826
216 92.3066711426 93.4514770508
217 92.2292404175 93.4538955688
218 92.2140197754 93.3904495239
219 92.2755584717 93.5131378174
220 92.2363204956 93.3934631348
221 92.2472686768 93.4072036743
222 92.1961364746 93.4778442383
223 92.2741851807 93.4720077515
224 92.1981811523 93.4019165039
225 92.219039917 93.3975219727
226 92.1567764282 93.3903045654
227 92.181388855 93.4602508545
228 92.2790908813 93.4449920654
229 92.223274231 93.5061264038
230 92.2257766724 93.4236450195
231 92.1753540039 93.4600753784
232 92.2288208008 93.3699264526
233 92.2786560059 93.4355697632
234 92.2504806519 93.3990249634
235 92.2362594604 93.531211853
236 92.2337875366 93.4584121704
237 92.1914596558 93.4109115601
238 92.2050476074 93.5127029419
239 92.2418365479 93.5104293823
240 92.2608184814 93.3903045654
241 92.2687606812 93.4116134644
242 92.1792755127 93.4718856812
243 92.2104187012 93.4501724243
244 92.1802444458 93.5079116821
245 92.2244796753 93.5272750854
246 92.2123184204 93.3649215698
247 92.2148590088 93.4403152466
248 92.1829605103 93.470161438
249 92.2784576416 93.4605636597
250 92.1847763062 93.4739379883
251 92.2534179688 93.3942642212
252 92.2380447388 93.4024200439
253 92.2371368408 93.5238037109
254 92.2353973389 93.4338760376
255 92.2680053711 93.4717483521
256 92.2477111816 93.3541412354
257 92.2921142578 93.4423751831
258 92.2322998047 93.3829345703
259 92.1602401733 93.5449295044
260 92.2526473999 93.449432373
261 92.197517395 93.4041366577
262 92.2347564697 93.4399871826
263 92.2293167114 93.4873504639
264 92.2251586914 93.4391860962
265 92.2188262939 93.4613113403
266 92.2378158569 93.3992614746
267 92.2753448486 93.4392318726
268 92.2434082031 93.4412994385
269 92.2144546509 93.4853591919
270 92.2423248291 93.4851760864
271 92.2000350952 93.435508728
272 92.1827163696 93.3897476196
273 92.1596298218 93.4041824341
274 92.2405395508 93.4248733521
275 92.2010574341 93.4467697144
276 92.2561798096 93.432800293
277 92.2301559448 93.4588699341
278 92.2454452515 93.4608001709
279 92.2392578125 93.3972702026
280 92.2289657593 93.4178085327
281 92.2456283569 93.5367889404
282 92.2242202759 93.4627227783
283 92.2652359009 93.4451293945
284 92.2513275146 93.374458313
285 92.1927642822 93.4601593018
286 92.2552947998 93.4472503662
287 92.2357559204 93.4451904297
288 92.2615814209 93.458984375
289 92.2143783569 93.4122009277
290 92.2342758179 93.4146499634
291 92.2127761841 93.5374069214
292 92.206237793 93.4468078613
293 92.2752685547 93.532951355
294 92.2341156006 93.4520339966
295 92.1930847168 93.4240875244
296 92.2123947144 93.4682617188
297 92.2235794067 93.5285263062
298 92.209815979 93.4914855957
299 92.2231674194 93.484085083
300 92.2453384399 93.5450820923
301 92.1821365356 93.4345626831
302 92.2252807617 93.3944549561
303 92.2565460205 93.4402542114
304 92.244178772 93.4276885986
305 92.2122192383 93.4124221802
306 92.1965179443 93.4258499146
307 92.3201980591 93.4387817383
308 92.1470184326 93.420463562
309 92.2438583374 93.4443817139
310 92.2227783203 93.4132461548
311 92.2551498413 93.3997879028
