compiled score function
Old best loss
garray(95.70858764648438)
Compiled loss functions
0 94.7198791504 95.633682251
1 94.8374862671 95.6177062988
2 94.7597351074 95.6186141968
3 94.7745666504 95.707244873
4 94.8866958618 95.6405181885
5 94.7927246094 95.6047668457
6 94.7992477417 95.6427993774
7 94.766418457 95.6216506958
8 94.7454605103 95.7063064575
9 94.8191375732 95.7098770142
10 94.7913665771 95.7076187134
11 94.8446350098 95.6298599243
12 94.824798584 95.6850509644
13 94.8247146606 95.6408309937
14 94.8487548828 95.6448135376
15 94.8620605469 95.5891265869
16 94.7624511719 95.626411438
17 94.8429107666 95.7125473022
18 94.7968902588 95.7259979248
19 94.783821106 95.7586975098
20 94.7989196777 95.6793136597
21 94.8266067505 95.6706466675
22 94.847694397 95.6393737793
23 94.8039779663 95.6630706787
24 94.7843170166 95.6382751465
25 94.8446502686 95.7159423828
26 94.7513961792 95.6779632568
27 94.8176345825 95.6474304199
28 94.7914581299 95.6622467041
29 94.7567977905 95.6363220215
30 94.7798309326 95.62109375
31 94.7646942139 95.6685028076
32 94.7674179077 95.5837936401
33 94.8399047852 95.6752471924
34 94.7551040649 95.5756759644
35 94.7476806641 95.566696167
36 94.7389984131 95.6492767334
37 94.7213897705 95.6315002441
38 94.8665390015 95.6730041504
39 94.7637557983 95.6319961548
40 94.763885498 95.6903076172
41 94.7350540161 95.6507568359
42 94.7681350708 95.6231613159
43 94.8144302368 95.5947418213
44 94.8249893188 95.5811157227
45 94.826789856 95.6374359131
46 94.8296966553 95.7057495117
47 94.7450790405 95.6571502686
48 94.8736572266 95.7192382812
49 94.7548141479 95.6231460571
50 94.7433547974 95.6329574585
51 94.8055801392 95.6603469849
52 94.7369308472 95.6651382446
53 94.722038269 95.612953186
54 94.81615448 95.6304321289
55 94.7823944092 95.6241073608
56 94.7767791748 95.6610107422
57 94.8050689697 95.6268920898
58 94.7734375 95.6574783325
59 94.7619400024 95.6371688843
60 94.7545013428 95.6688995361
61 94.7180938721 95.6873397827
62 94.8231887817 95.6929244995
63 94.7517776489 95.6299362183
64 94.7878494263 95.7231063843
65 94.7455978394 95.7222824097
66 94.8059158325 95.6399230957
67 94.7374649048 95.6228713989
68 94.7056884766 95.5727157593
69 94.7199172974 95.6661071777
70 94.7846908569 95.6637573242
71 94.811668396 95.6138381958
72 94.7086868286 95.604309082
73 94.7656173706 95.707611084
74 94.8414459229 95.6462020874
75 94.8102874756 95.5716094971
76 94.756111145 95.5777511597
77 94.7504653931 95.5757598877
78 94.7241287231 95.5618286133
79 94.787399292 95.6374893188
80 94.7909164429 95.6140213013
81 94.7405395508 95.646194458
82 94.8228149414 95.6600723267
83 94.8184967041 95.5263214111
84 94.740447998 95.5786209106
85 94.7537689209 95.6673812866
86 94.738899231 95.6195602417
87 94.7894897461 95.6702575684
88 94.7887573242 95.6866760254
89 94.6612091064 95.6234283447
90 94.8065948486 95.5854721069
91 94.7369766235 95.5831069946
92 94.711479187 95.6612625122
93 94.7334365845 95.6080627441
94 94.765045166 95.6229095459
95 94.7552642822 95.6892700195
96 94.7528076172 95.6906585693
97 94.7438201904 95.6659851074
98 94.8096389771 95.7199707031
99 94.7571411133 95.6106872559
100 94.6837844849 95.5340499878
101 94.7758865356 95.6048202515
102 94.6780471802 95.6414871216
103 94.7802352905 95.6253814697
104 94.6960983276 95.5218048096
105 94.7616271973 95.5730133057
106 94.7260742188 95.6503219604
107 94.7196807861 95.6197509766
108 94.7489471436 95.5515060425
109 94.6480178833 95.601776123
110 94.7824859619 95.5777359009
111 94.7388839722 95.6631011963
112 94.7053146362 95.5824203491
113 94.7758560181 95.6616516113
114 94.8160858154 95.5847549438
115 94.7805786133 95.6055450439
116 94.7746582031 95.6333312988
117 94.7600479126 95.5831604004
118 94.7451782227 95.599319458
119 94.7616577148 95.6226119995
120 94.7077713013 95.5968704224
121 94.7215957642 95.6029129028
122 94.7601547241 95.6748504639
123 94.7517776489 95.5162200928
124 94.736289978 95.6636962891
125 94.7079162598 95.6188430786
126 94.7598876953 95.6911239624
127 94.721534729 95.6056747437
128 94.8042373657 95.6233215332
129 94.7454452515 95.6259078979
130 94.7575912476 95.6111907959
131 94.7817382812 95.6987228394
132 94.762298584 95.5014190674
133 94.7319869995 95.6459121704
134 94.7809066772 95.6772003174
135 94.7146911621 95.6146087646
136 94.7184677124 95.657409668
137 94.7429046631 95.5513458252
138 94.7852172852 95.6223831177
139 94.7020950317 95.6667633057
140 94.7637481689 95.6004943848
141 94.8081207275 95.6082611084
142 94.749168396 95.6184005737
143 94.7790603638 95.5279312134
144 94.7376174927 95.6374664307
145 94.7212677002 95.5891494751
146 94.7979202271 95.6116790771
147 94.7323989868 95.5928497314
148 94.7162704468 95.6267242432
149 94.7640075684 95.6386108398
150 94.7455673218 95.6193161011
151 94.7465896606 95.6104507446
152 94.7229766846 95.6002731323
153 94.764175415 95.6268997192
154 94.7501449585 95.5701828003
155 94.7376174927 95.5561065674
156 94.7721176147 95.5317230225
157 94.7250213623 95.6484069824
158 94.7330245972 95.670173645
159 94.7596206665 95.6220092773
160 94.7403106689 95.5667037964
161 94.7385940552 95.6272735596
162 94.6976776123 95.6060562134
163 94.7239608765 95.5644073486
164 94.7032012939 95.6695404053
165 94.7157363892 95.6256790161
166 94.6853256226 95.6344985962
167 94.697769165 95.6768188477
168 94.7304992676 95.6238708496
169 94.7816848755 95.5718688965
170 94.73072052 95.6236572266
171 94.7300186157 95.5847854614
172 94.6883163452 95.5953903198
173 94.7130813599 95.5354995728
174 94.725730896 95.6893005371
175 94.7718811035 95.5973052979
176 94.7305755615 95.657119751
177 94.7347640991 95.57056427
178 94.7379074097 95.5714874268
179 94.7000045776 95.6278839111
180 94.7165756226 95.6593856812
181 94.7382202148 95.6144104004
182 94.7328567505 95.6267166138
183 94.7897186279 95.6544570923
184 94.7476806641 95.5872039795
185 94.7021942139 95.5052490234
186 94.7610549927 95.6001968384
187 94.6653366089 95.6824645996
188 94.6934204102 95.6116790771
189 94.7596893311 95.5842590332
190 94.7032012939 95.5818710327
191 94.7683105469 95.6332931519
192 94.7287139893 95.5311355591
193 94.7690505981 95.5823059082
194 94.7430496216 95.6250610352
195 94.7500762939 95.5138092041
196 94.7086868286 95.6403579712
197 94.7164993286 95.5287857056
198 94.8182601929 95.5864257812
199 94.7074584961 95.6179733276
200 94.7189178467 95.5665283203
201 94.7325973511 95.5369262695
202 94.7343978882 95.5543746948
203 94.7577209473 95.5251312256
204 94.7180938721 95.5862960815
205 94.7537460327 95.6698455811
206 94.6953582764 95.5887374878
207 94.7075576782 95.5703353882
208 94.7166213989 95.615447998
209 94.7104873657 95.6118850708
210 94.6856842041 95.5992889404
211 94.7545547485 95.6186828613
212 94.7423858643 95.5429916382
213 94.7372894287 95.5853500366
214 94.7804794312 95.6494674683
215 94.660194397 95.5594406128
216 94.748336792 95.6591033936
217 94.7193756104 95.5859527588
218 94.7071609497 95.5915985107
219 94.7349472046 95.5807342529
220 94.7312393188 95.5866851807
221 94.7382278442 95.6555252075
222 94.6809005737 95.6448440552
223 94.7226791382 95.6768188477
224 94.733215332 95.5649108887
225 94.7035598755 95.592300415
226 94.6546096802 95.6151351929
227 94.6514587402 95.6091995239
228 94.733757019 95.6292877197
229 94.732093811 95.5676956177
230 94.7350387573 95.6021194458
231 94.672454834 95.5941467285
232 94.7004699707 95.5503005981
233 94.7450485229 95.5648574829
234 94.7154846191 95.6181793213
235 94.7254486084 95.5802993774
236 94.6931991577 95.6281967163
237 94.648399353 95.580657959
238 94.6912841797 95.6059570312
239 94.653717041 95.4931793213
240 94.7210006714 95.6395339966
241 94.73072052 95.5852127075
242 94.6623153687 95.6128005981
243 94.6942138672 95.6019973755
244 94.7565994263 95.6895523071
245 94.7029190063 95.6379165649
246 94.6838760376 95.5464935303
247 94.71144104 95.5917129517
248 94.6843185425 95.6256561279
249 94.7349777222 95.6095046997
250 94.6541366577 95.6216583252
251 94.7233581543 95.6604003906
252 94.6989212036 95.6288299561
253 94.7398147583 95.6335449219
254 94.7090988159 95.6473388672
255 94.693031311 95.6251907349
256 94.7087173462 95.5237121582
257 94.710723877 95.6019592285
258 94.7123565674 95.5697250366
259 94.6476211548 95.6113204956
260 94.7574157715 95.545173645
261 94.6927947998 95.6662139893
262 94.7184295654 95.5332946777
263 94.7196807861 95.5873565674
264 94.6924438477 95.5249481201
265 94.7071762085 95.5530471802
266 94.6780548096 95.5804214478
267 94.677986145 95.6310806274
268 94.7440643311 95.5813446045
269 94.6815490723 95.5647201538
270 94.6581954956 95.4914627075
271 94.657699585 95.6070556641
272 94.6813964844 95.5038909912
273 94.6680679321 95.6092987061
274 94.7412261963 95.5860443115
275 94.6996688843 95.5244827271
276 94.7015380859 95.5403366089
277 94.7533950806 95.5681228638
278 94.7206268311 95.6002044678
279 94.7020950317 95.4444351196
280 94.6733703613 95.5487213135
281 94.662361145 95.6126861572
282 94.6896591187 95.5222244263
283 94.7593078613 95.6370162964
284 94.7367401123 95.5630950928
285 94.6165390015 95.5596466064
286 94.7171783447 95.5397262573
287 94.6762161255 95.6011505127
288 94.7343978882 95.5557937622
289 94.6683349609 95.5511856079
290 94.7492294312 95.5772323608
291 94.6561584473 95.554725647
292 94.7004547119 95.5959320068
293 94.7216262817 95.5261077881
294 94.7132949829 95.5873947144
295 94.6738739014 95.5445022583
296 94.6484603882 95.6021194458
297 94.6552200317 95.5648193359
298 94.7191848755 95.5745239258
299 94.685798645 95.6221008301
300 94.7156143188 95.606262207
301 94.6609191895 95.5209503174
302 94.6824645996 95.4869689941
303 94.7218399048 95.5960006714
304 94.694519043 95.5015487671
305 94.6450500488 95.4812011719
306 94.6843795776 95.5174789429
307 94.7574462891 95.5581588745
308 94.6043701172 95.5638580322
309 94.6893386841 95.5991821289
310 94.6613998413 95.5084991455
311 94.7127380371 95.5311355591
312 94.6353607178 95.5471954346
313 94.6385955811 95.5823745728
314 94.6861572266 95.6415634155
315 94.7333068848 95.5818023682
316 94.6914672852 95.5760879517
317 94.681968689 95.5393371582
318 94.6729812622 95.5589447021
319 94.6943054199 95.506652832
320 94.6861953735 95.6477813721
321 94.7452163696 95.4709091187
322 94.6797409058 95.6002426147
323 94.7119598389 95.5944442749
324 94.6824569702 95.5962600708
325 94.6644439697 95.6052093506
326 94.6920547485 95.5581817627
327 94.6142654419 95.5561752319
328 94.6545181274 95.4933319092
329 94.7135848999 95.4865570068
330 94.6731567383 95.7038192749
331 94.6070556641 95.5502548218
332 94.6757202148 95.52368927
333 94.7437591553 95.609085083
334 94.6969146729 95.457321167
335 94.7177581787 95.5862884521
336 94.7036361694 95.551651001
337 94.7011642456 95.5182113647
338 94.6748275757 95.6434249878
339 94.6324996948 95.5723876953
340 94.6394805908 95.5486984253
341 94.6479873657 95.6155471802
342 94.6675796509 95.6065063477
343 94.624420166 95.5473632812
344 94.709487915 95.6240234375
345 94.6573562622 95.5854644775
346 94.740196228 95.5728988647
347 94.6667938232 95.4827194214
348 94.6508178711 95.6260986328
349 94.7036361694 95.5623779297
350 94.6935348511 95.607383728
351 94.6902008057 95.5749511719
352 94.6536560059 95.5617752075
353 94.6514205933 95.5790863037
354 94.6463851929 95.5157470703
355 94.7042541504 95.5336380005
356 94.6205444336 95.5436172485
357 94.6873168945 95.5595245361
358 94.650100708 95.5596313477
359 94.7464752197 95.5545730591
360 94.719909668 95.6424026489
361 94.6293563843 95.4098587036
362 94.6576080322 95.4236068726
363 94.7008209229 95.4897384644
364 94.6698379517 95.6127853394
365 94.6980743408 95.5157928467
366 94.6701965332 95.4920501709
367 94.6139907837 95.5962982178
368 94.7111587524 95.5523910522
369 94.6540298462 95.5284500122
370 94.6429290771 95.5033950806
371 94.6164550781 95.5271072388
372 94.6912994385 95.483757019
373 94.6499557495 95.5083389282
374 94.6995162964 95.4937820435
375 94.6932449341 95.6035842896
376 94.6559677124 95.6262207031
377 94.6576538086 95.6657943726
378 94.6627349854 95.4890213013
379 94.696395874 95.5011825562
380 94.647819519 95.4956130981
381 94.6893844604 95.4922180176
382 94.6375198364 95.5478439331
383 94.6141738892 95.5905609131
384 94.6646881104 95.5533218384
385 94.6241607666 95.4058456421
386 94.6553955078 95.5537948608
387 94.6234588623 95.5500564575
388 94.6610946655 95.543800354
389 94.5927200317 95.5181503296
390 94.6489105225 95.524307251
391 94.6584396362 95.6350479126
392 94.6152038574 95.5604629517
393 94.6230773926 95.5924987793
394 94.6033782959 95.6210708618
395 94.6593475342 95.4956207275
396 94.6242141724 95.5375900269
397 94.674369812 95.5692214966
398 94.6234741211 95.5535125732
399 94.6389770508 95.5531005859
400 94.6486358643 95.5304107666
401 94.6421203613 95.5250091553
402 94.6220855713 95.5454864502
403 94.6578903198 95.4689407349
404 94.7025299072 95.4863967896
405 94.6439056396 95.5044784546
406 94.6692199707 95.5706939697
407 94.5866012573 95.5017852783
408 94.6293792725 95.501121521
409 94.6514587402 95.4959411621
410 94.6673049927 95.5150985718
411 94.6855010986 95.5474624634
412 94.6448440552 95.5645751953
413 94.6358413696 95.513710022
414 94.647857666 95.5300827026
415 94.6223907471 95.5568237305
416 94.6543045044 95.5555343628
417 94.6613540649 95.5821151733
418 94.6274871826 95.5081863403
419 94.668800354 95.5054626465
420 94.6602478027 95.4725189209
421 94.6308746338 95.5579376221
422 94.6274871826 95.4955368042
423 94.6297988892 95.5688323975
424 94.6440887451 95.4771957397
425 94.6670150757 95.5283966064
426 94.6478500366 95.5193634033
427 94.5938949585 95.5640640259
428 94.648979187 95.4622116089
