(50000L, 784L)
compiled score function
Old best loss:
garray(130.34397888183594)
Old best val NLL:
127.253283696
Compiled loss functions
[324359, 354630, 354670, 354679, 354682, 354766, 354782, 354798, 354814, 354839, 354915, 354935, 354966, 355046, 355114, 355122, 355135, 355166, 355198, 355230, 355231, 355235, 355246, 355263, 355286, 355338, 355346, 355390, 752394]

0 garray(128.03807067871094) 131.722290039 127.351317823 [ 0.00707636]
162 garray(nan) nan nan [ nan]
163 garray(nan) nan nan [ nan]
164 garray(nan) nan nan [ nan]
165 garray(nan) nan nan [ nan]
166 garray(nan) nan nan [ nan]
167 garray(nan) nan nan [ nan]
168 garray(nan) nan nan [ nan]
169 garray(nan) nan nan [ nan]
170 garray(nan) nan nan [ nan]
171 garray(nan) nan nan [ nan]
172 garray(nan) nan nan [ nan]
173 garray(nan) nan nan [ nan]
174 garray(nan) nan nan [ nan]
175 garray(nan) nan nan [ nan]
176 garray(nan) nan nan [ nan]
177 garray(nan) nan nan [ nan]
178 garray(nan) nan nan [ nan]
179 garray(nan) nan nan [ nan]
180 garray(nan) nan nan [ nan]
181 garray(nan) nan nan [ nan]
182 garray(nan) nan nan [ nan]
183 garray(nan) nan nan [ nan]
184 garray(nan) nan nan [ nan]
185 garray(nan) nan nan [ nan]
186 garray(nan) nan nan [ nan]
187 garray(nan) nan nan [ nan]
188 garray(nan) nan nan [ nan]
189 garray(nan) nan nan [ nan]
190 garray(nan) nan nan [ nan]
191 garray(nan) nan nan [ nan]
192 garray(nan) nan nan [ nan]
193 garray(nan) nan nan [ nan]
194 garray(nan) nan nan [ nan]
195 garray(nan) nan nan [ nan]
196 garray(nan) nan nan [ nan]
197 garray(nan) nan nan [ nan]
198 garray(nan) nan nan [ nan]
199 garray(nan) nan nan [ nan]
200 garray(nan) nan nan [ nan]
201 garray(nan) nan nan [ nan]
202 garray(nan) nan nan [ nan]
203 garray(nan) nan nan [ nan]
204 garray(nan) nan nan [ nan]
205 garray(nan) nan nan [ nan]
206 garray(nan) nan nan [ nan]
207 garray(nan) nan nan [ nan]
208 garray(nan) nan nan [ nan]
209 garray(nan) nan nan [ nan]
210 garray(nan) nan nan [ nan]
211 garray(nan) nan nan [ nan]
212 garray(nan) nan nan [ nan]
213 garray(nan) nan nan [ nan]
214 garray(nan) nan nan [ nan]
215 garray(nan) nan nan [ nan]
216 garray(nan) nan nan [ nan]
217 garray(nan) nan nan [ nan]
218 garray(nan) nan nan [ nan]
219 garray(nan) nan nan [ nan]
220 garray(nan) nan nan [ nan]
221 garray(nan) nan nan [ nan]
222 garray(nan) nan nan [ nan]
223 garray(nan) nan nan [ nan]
224 garray(nan) nan nan [ nan]
225 garray(nan) nan nan [ nan]
226 garray(nan) nan nan [ nan]
227 garray(nan) nan nan [ nan]
228 garray(nan) nan nan [ nan]
229 garray(nan) nan nan [ nan]
