compiled score function
Old best loss
garray(105.76451873779297)
Compiled loss functions
454 100.464416504 100.929069519
455 100.461448669 100.888298035
456 100.485679626 100.936347961
457 100.481689453 100.893714905
458 100.418380737 100.923614502
459 100.457183838 100.953796387
460 100.420150757 100.861778259
461 100.571540833 100.991943359
462 100.492378235 100.900985718
463 100.506690979 100.883476257
464 100.423080444 100.810150146
465 100.455078125 100.873535156
466 100.412117004 100.885284424
467 100.412857056 100.838218689
468 100.442100525 100.890594482
469 100.443824768 100.873809814
470 100.397140503 100.826583862
471 100.400398254 100.795173645
472 100.419975281 100.837814331
473 100.428939819 100.829742432
474 100.389289856 100.834266663
475 100.375427246 100.87121582
476 100.406074524 100.799606323
477 100.347465515 100.84954834
478 100.381240845 100.867736816
479 100.405433655 100.789352417
480 100.305526733 100.77381134
481 100.438598633 100.854972839
482 100.404785156 100.882743835
483 100.415397644 100.821014404
484 100.360374451 100.790100098
485 100.317596436 100.757301331
486 100.314918518 100.677604675
487 100.371604919 100.834197998
488 100.352714539 100.79058075
489 100.289306641 100.773345947
490 100.300697327 100.661315918
491 100.340255737 100.784851074
492 100.241966248 100.704750061
493 100.342666626 100.725273132
494 100.369056702 100.823699951
495 100.336578369 100.743995667
496 100.295455933 100.686088562
497 100.301818848 100.71030426
498 100.259376526 100.716438293
499 100.277427673 100.742652893
500 100.308135986 100.714988708
501 100.278419495 100.708938599
502 100.251937866 100.729324341
503 100.226737976 100.716957092
504 100.243606567 100.627120972
505 100.253379822 100.762283325
506 100.259498596 100.719909668
507 100.262878418 100.707977295
508 100.196739197 100.765419006
509 100.307250977 100.80557251
510 100.216018677 100.683410645
511 100.234825134 100.635726929
512 100.251098633 100.694358826
513 100.178443909 100.718261719
514 100.19291687 100.638206482
515 100.246856689 100.638137817
516 100.134376526 100.678184509
517 100.226341248 100.69846344
518 100.178359985 100.556938171
519 100.185379028 100.595237732
520 100.184196472 100.543395996
521 100.146316528 100.597999573
522 100.223884583 100.620277405
523 100.172935486 100.665390015
524 100.12322998 100.622894287
525 100.197280884 100.628875732
526 100.159980774 100.631065369
527 100.135398865 100.561386108
528 100.151077271 100.491798401
529 100.089920044 100.507995605
530 100.173561096 100.538482666
531 100.123054504 100.679878235
532 100.111198425 100.57232666
533 100.064170837 100.503211975
534 100.075538635 100.595069885
535 100.083786011 100.570732117
536 100.078819275 100.518783569
537 100.077087402 100.520523071
538 100.068359375 100.539306641
539 100.154258728 100.6484375
540 100.035438538 100.564094543
541 100.126144409 100.591827393
542 100.043174744 100.489044189
543 100.088188171 100.480102539
544 100.122817993 100.545448303
545 100.049934387 100.48878479
546 100.059280396 100.561088562
547 99.9957046509 100.490036011
548 100.066810608 100.524169922
549 100.114753723 100.541282654
550 100.029434204 100.447311401
551 100.009651184 100.488609314
552 100.010299683 100.44418335
553 100.064750671 100.447792053
554 100.052154541 100.449287415
555 100.028594971 100.424674988
556 100.001960754 100.425987244
557 99.9941711426 100.436569214
558 100.007659912 100.412025452
559 99.9669799805 100.450263977
560 99.9902267456 100.457489014
561 100.02217865 100.547973633
562 100.007659912 100.378219604
563 99.9917602539 100.53352356
564 99.9123687744 100.296913147
565 100.030555725 100.467056274
566 99.9957199097 100.377342224
567 99.9920959473 100.403022766
568 99.948097229 100.386756897
569 99.9318237305 100.330459595
570 100.022125244 100.50214386
571 99.9387588501 100.310592651
572 99.9071884155 100.346511841
573 99.9652557373 100.419578552
574 99.9167175293 100.460945129
575 100.006416321 100.419593811
576 99.9310760498 100.405471802
577 99.9593582153 100.31502533
578 99.9304656982 100.333473206
579 99.8843841553 100.464530945
580 99.9132156372 100.376022339
581 100.016120911 100.488319397
582 99.8887939453 100.378082275
583 99.9228897095 100.41570282
584 99.9658355713 100.432403564
585 99.9281082153 100.293052673
586 99.8536911011 100.276672363
587 99.8241271973 100.315734863
588 99.9242095947 100.34072876
589 99.8927383423 100.288208008
590 99.7695541382 100.305305481
591 99.8793563843 100.348136902
592 99.8623962402 100.291900635
593 99.7922439575 100.280387878
594 99.7953643799 100.237045288
595 99.8808746338 100.281509399
596 99.913230896 100.326263428
597 99.8251953125 100.309707642
598 99.7891159058 100.273902893
599 99.8949661255 100.225601196
600 99.8272781372 100.305328369
601 99.890296936 100.300117493
602 99.8386001587 100.288421631
603 99.8251495361 100.244010925
604 99.8288879395 100.223861694
605 99.8008956909 100.244384766
606 99.7492675781 100.267562866
607 99.7966995239 100.283279419
608 99.758895874 100.267181396
609 99.8038406372 100.229507446
610 99.6934738159 100.215087891
611 99.8062210083 100.231590271
612 99.7533950806 100.277198792
613 99.8158950806 100.215995789
614 99.7527542114 100.158424377
615 99.7039260864 100.227767944
616 99.7707901001 100.180793762
617 99.7452163696 100.208282471
618 99.7392272949 100.252998352
619 99.74949646 100.258750916
620 99.7965087891 100.216094971
621 99.7887573242 100.147209167
622 99.835319519 100.187179565
623 99.6796112061 100.164398193
624 99.7612304688 100.213981628
625 99.7352905273 100.190475464
626 99.7773208618 100.161758423
627 99.7340011597 100.201797485
628 99.6886291504 100.099769592
629 99.719909668 100.128898621
630 99.7702407837 100.127418518
631 99.6974945068 100.13243103
632 99.6744384766 100.152641296
633 99.7008666992 100.177200317
634 99.7117156982 100.017745972
635 99.6968154907 100.092750549
636 99.7228546143 100.215751648
637 99.7337188721 100.120635986
638 99.6689987183 100.216468811
639 99.6830062866 100.176109314
640 99.6549453735 100.129707336
641 99.6419754028 100.164863586
642 99.688079834 100.200019836
643 99.7028808594 100.132064819
644 99.6531066895 100.135375977
645 99.6474685669 100.051887512
646 99.7259597778 100.137107849
647 99.6950912476 100.216300964
648 99.6526794434 100.061408997
649 99.5310440063 99.9917144775
650 99.6488571167 100.091079712
651 99.5648040771 100.167381287
652 99.5621566772 100.062141418
653 99.5968399048 100.09046936
654 99.5943984985 100.099754333
655 99.6498565674 100.082000732
656 99.5698165894 100.052764893
657 99.6408157349 100.088897705
658 99.6430969238 100.171798706
659 99.5641937256 100.040931702
660 99.6096343994 100.041992188
661 99.633140564 100.114761353
662 99.5421142578 100.081596375
663 99.5484085083 100.100776672
664 99.6270446777 100.034362793
665 99.5863037109 100.041137695
666 99.5548782349 100.087867737
667 99.630355835 100.143928528
668 99.581199646 100.00151825
669 99.5426254272 99.955116272
670 99.4804611206 100.033683777
671 99.5386886597 100.07723999
672 99.567024231 100.032051086
673 99.4901199341 99.9889373779
674 99.5089569092 99.9365158081
675 99.5786895752 100.004638672
676 99.5089569092 100.013717651
677 99.4529571533 100.038856506
678 99.4611587524 100.013252258
679 99.5262985229 99.9615859985
680 99.5322875977 100.066299438
681 99.5366439819 100.027076721
682 99.5315475464 100.05078125
683 99.5082855225 99.9535980225
684 99.5610961914 99.9613418579
685 99.487739563 99.924697876
686 99.5096893311 100.038337708
687 99.5299377441 100.038291931
688 99.4613800049 100.008895874
689 99.4543991089 99.9766235352
690 99.5258560181 100.10193634
691 99.4600296021 99.9221191406
692 99.535697937 100.039421082
693 99.4195556641 99.9670944214
694 99.4261474609 99.9038085938
695 99.5817947388 99.9748077393
696 99.4765701294 99.9091415405
697 99.4504394531 99.9645385742
698 99.4124298096 99.9031829834
699 99.4368438721 99.9353713989
700 99.4230957031 99.9166488647
701 99.4322052002 99.9056091309
702 99.4479751587 99.8512115479
703 99.5240859985 99.9134750366
704 99.4890899658 99.9475479126
705 99.3648147583 99.8663635254
706 99.4059448242 99.9128570557
707 99.4789581299 99.9710998535
708 99.5112991333 99.9179382324
709 99.4404449463 99.823928833
710 99.4337692261 99.8557357788
711 99.3634109497 99.8177871704
712 99.3900985718 99.9314346313
713 99.3865509033 99.9359283447
714 99.3693466187 99.9148254395
715 99.4214782715 99.8329620361
716 99.4515075684 99.8345108032
717 99.3941192627 99.9204940796
718 99.4176177979 99.8383331299
719 99.392250061 99.8993377686
720 99.3180465698 99.9270095825
721 99.4296798706 99.9223937988
722 99.3182601929 99.8184509277
723 99.4259262085 99.9009094238
724 99.3856811523 99.8947753906
725 99.3739776611 99.8289108276
726 99.3465576172 99.9912185669
727 99.3187866211 99.8577041626
728 99.3708953857 99.828086853
729 99.3036804199 99.7992935181
730 99.3261184692 99.7970504761
731 99.4271774292 99.8405227661
732 99.380317688 99.9207839966
733 99.3933944702 99.8369827271
734 99.300994873 99.7418746948
735 99.3048553467 99.8215332031
736 99.2779541016 99.7585449219
737 99.2978363037 99.7767715454
738 99.3732070923 99.7772445679
739 99.3570709229 99.8330612183
740 99.3112640381 99.8572387695
741 99.2910766602 99.8087997437
742 99.362197876 99.81590271
743 99.3149871826 99.762588501
744 99.3037796021 99.8439025879
745 99.3319168091 99.8310623169
746 99.3040161133 99.7531509399
747 99.2191772461 99.8218383789
748 99.2621765137 99.7477874756
749 99.2750549316 99.725944519
750 99.2847061157 99.8046188354
751 99.26197052 99.7785797119
752 99.3482666016 99.8256835938
753 99.279335022 99.7865982056
754 99.3180084229 99.8037338257
755 99.2753753662 99.7987670898
756 99.2587280273 99.7097320557
757 99.1936569214 99.7423248291
758 99.2338790894 99.7706222534
759 99.3230743408 99.7003860474
760 99.2306976318 99.704826355
761 99.3123168945 99.6835098267
762 99.2375488281 99.7446136475
763 99.2929153442 99.816619873
764 99.2445983887 99.8075180054
765 99.2129974365 99.7528991699
766 99.2388763428 99.8442459106
767 99.2205581665 99.7521438599
768 99.2707366943 99.7301483154
769 99.2387771606 99.6496505737
770 99.2195739746 99.6662445068
771 99.2428588867 99.7579193115
772 99.2568283081 99.7164993286
773 99.2772598267 99.7113494873
774 99.1750640869 99.6591262817
775 99.2070770264 99.7316818237
776 99.2073059082 99.7769393921
777 99.2131195068 99.7621994019
